"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","England","Unit","Selected area","England","Unit","Base population","Source","Geography","Time period"
"Socio-economic Classification (NS-SeC)","L7: Intermediate occupations",14.2,11.4,"%","500","5255333","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L8 and L9: Small employers and own account workers",9.6,10.6,"%","338","4873402","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L10 and L11: Lower supervisory and technical occupations",6.4,5.3,"%","225","2460733","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L12: Semi-routine occupations",11.5,11.3,"%","406","5183579","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L13: Routine occupations",12.2,12,"%","429","5522275","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L14.1 and L14.2: Never worked and long-term unemployed",5.4,8.5,"%","189","3915482","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L15: Full-time students",5.3,7.7,"%","185","3530990","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Part-time: 15 hours or less worked",7.2,10.3,"%","176","2731449","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Part-time: 16 to 30 hours worked",15.9,19.5,"%","388","5139989","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Full-time: 31 to 48 hours worked",67.7,59.1,"%","1650","15608863","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Hours per week worked","Full-time: 49 or more hours worked",9.2,11.1,"%","225","2924913","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","No qualifications",14.6,18.1,"%","513","8317789","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Level 1, 2 or 3 qualifications",46.8,39.9,"%","1649","18367305","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Apprenticeship",6.8,5.3,"%","240","2446935","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Level 4 qualifications and above",29.5,33.9,"%","1040","15606458","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Highest level of qualification","Other qualifications",2.3,2.8,"%","80","1268468","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Schoolchildren and full-time students","Student",18.4,20.4,"%","753","10920505","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Schoolchildren and full-time students","Not a student",81.6,79.6,"%","3348","42492592","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
