"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Bolton","Unit","Selected area","Bolton","Unit","Base population","Source","Geography","Time period"
"Occupancy rating for bedrooms","+2 or more",32.9,29.9,"%","615","35524","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","+1",42.9,36.6,"%","803","43439","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","0",22,27.8,"%","411","33013","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","-1",2,4.5,"%","37","5328","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","-2 or less",0.3,1.3,"%","5","1486","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Owns outright",33.5,33.2,"%","627","39475","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Owns with a mortgage or loan or shared ownership",37.9,28.7,"%","710","34101","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Social rented",6.7,19.8,"%","125","23555","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Private rented or lives rent free",22,18.2,"%","412","21659","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","No second address",96.3,96.6,"%","4191","285759","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","Second address is in the UK",3.1,2.7,"%","136","8032","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","Second address is outside the UK",0.5,0.7,"%","23","2172","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Less than 10km",37.4,42.4,"%","912","53131","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","10km to less than 30km",18.4,15.9,"%","448","19924","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","30km and over",2.2,2.2,"%","54","2701","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Works mainly from home",26.2,23.6,"%","639","29568","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Other",15.8,16,"%","386","20113","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Work mainly at or from home",26.2,23.6,"%","639","29568","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
