"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Greater Manchester","Unit","Selected area","Greater Manchester","Unit","Base population","Source","Geography","Time period"
"Occupancy rating for bedrooms","+2 or more",32.9,30.5,"%","615","359922","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","+1",42.9,35.7,"%","803","421221","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","0",22,28.8,"%","411","339233","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","-1",2,4,"%","37","47470","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","-2 or less",0.3,0.9,"%","5","10396","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Owns outright",33.5,29.2,"%","627","343961","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Owns with a mortgage or loan or shared ownership",37.9,29.4,"%","710","346603","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Social rented",6.7,20.7,"%","125","243403","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Private rented or lives rent free",22,20.7,"%","412","244277","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","No second address",96.3,95.1,"%","4191","2726761","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","Second address is in the UK",3.1,3.9,"%","136","111531","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","Second address is outside the UK",0.5,1,"%","23","29468","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Less than 10km",37.4,41.9,"%","912","535878","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","10km to less than 30km",18.4,12.9,"%","448","165106","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","30km and over",2.2,2.6,"%","54","33604","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Works mainly from home",26.2,28.6,"%","639","366213","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Other",15.8,14,"%","386","179305","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Work mainly at or from home",26.2,28.6,"%","639","366213","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Underground, metro, light rail, tram",0.8,1.4,"%","20","17552","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Train",0.9,1,"%","23","12478","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Bus, minibus or coach",2.3,5.4,"%","57","68723","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Taxi",0.6,1.3,"%","14","16745","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Motorcycle, scooter or moped",0.5,0.3,"%","12","3592","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Driving a car or van",59.7,47.3,"%","1455","605890","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Passenger in a car or van",3.6,4.3,"%","89","55447","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Bicycle",0.7,1.7,"%","16","21453","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","On foot",3.9,7.7,"%","95","98591","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Other method of travel to work",0.8,1,"%","19","13427","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically active: In employment",69.2,56.1,"%","2435","1280106","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically active: Unemployed",3,4,"%","105","90636","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically inactive",27.8,40,"%","980","912190","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Worked in the last 12 months",14.5,13.2,"%","158","132169","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Not worked in the last 12 months",63.7,55.2,"%","693","553694","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Never worked",21.8,31.6,"%","237","316963","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","1. Managers, directors and senior officials",10.6,10.9,"%","259","140101","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
